POINT_ID,LC0_Desc,BDsample_0,coarse_mas,BDfine_0_2,coarse_vol,,
,Land Cover (Eurostat),BDsample_0_20_2018,coarse_mass_fraction,BDfine_0_20_2018_approx,coarse_volume_fraction_approx,,
56562344,Woodland,1.37,0.16,1.257,0.084,,
56662338,Woodland,1.164,0,1.164,0,,
56722276,Shrubland,1.241,0,1.241,0,,
56742272,Cropland,1.336,0,1.336,0,,
56862330,Woodland,1.285,0,1.285,0,,
56942334,Cropland,1.495,0,1.495,0,,
57062336,Cropland,1.235,0.06,1.195,0.029,,
57122330,Grassland,1.272,0,1.272,0,,
57122348,Woodland,1.216,0,1.216,0,,
57162300,Grassland,1.317,0,1.317,0,,
57162364,Grassland,1.452,0,1.452,0,,
57242300,Cropland,1.382,0.15,1.276,0.08,,
57262276,Grassland,1.444,0,1.444,0,,
57322286,Woodland,1.138,0,1.138,0,,
57362326,Cropland,1.153,0.14,1.057,0.062,,
57442294,Woodland,1.306,0.08,1.252,0.04,,
57482360,Grassland,1.376,0,1.376,0,,
57542308,Grassland,1.344,0.19,1.207,0.098,,
57702274,Woodland,1.255,0,1.255,0,,
29042168,Shrubland,0.929,0.17,0.821,0.061,,
53462264,Woodland,1.188,0.05,1.154,0.023,,
53482276,Cropland,1.553,0.02,1.54,0.012,,
53562216,Grassland,1.261,0.1,1.193,0.049,,
53582250,Woodland,1.28,0.35,1.005,0.172,,
53702216,Woodland,1.052,0,1.052,0,,
53702276,Woodland,1.39,0,1.39,0,,
53742228,Woodland,1.085,0.35,0.826,0.146,,
53842226,Cropland,1.411,0,1.411,0,,
53862246,Cropland,1.222,0,1.222,0,,
53882194,Woodland,1.258,0.11,1.182,0.053,,
53882234,Shrubland,1.339,0.07,1.292,0.036,,
53882276,Grassland,1.051,0.82,0.283,0.331,,
53882288,Grassland,1.023,0,1.023,0,,
53902178,Woodland,1.1,0,1.1,0,,
53902268,Grassland,1.089,0.29,0.88,0.121,,
53982204,Grassland,1.542,0,1.542,0,,
54022304,Grassland,1.496,0.22,1.335,0.127,,
54062198,Woodland,1.199,0.12,1.116,0.055,,
54102148,Woodland,1.265,0,1.265,0,,
54122326,Woodland,0.86,0.13,0.781,0.043,,
